Number One, Number Two, Their GCD, Time Spent(Milliseconds)
44270, 29034, 2, 0.9932518005371094
37930, 89599, 1, 0.7884502410888672
53912, 10723, 1, 0.49686431884765625
84383, 16858, 1, 0.4966259002685547
69876, 46732, 4, 0.9932518005371094
88856, 69289, 1, 1.489877700805664
17124, 59306, 2, 0.240325927734375
36514, 9821, 1, 0.0
51324, 66490, 2, 0.9942054748535156
10297, 84705, 1, 0.4963874816894531
22903, 30760, 1, 0.4963874816894531
50689, 12895, 1, 0.20360946655273438
22493, 72366, 1, 0.4966259002685547
75745, 68739, 1, 1.489877700805664
39863, 84189, 1, 0.9934902191162109
55280, 61452, 4, 1.4896392822265625
28988, 85184, 4, 0.9932518005371094
73111, 26998, 1, 0.7672309875488281
79677, 80593, 1, 1.9869804382324219
85980, 26717, 1, 0.4963874816894531
82909, 77102, 1, 1.489877700805664
82446, 2389, 1, 0.0
39953, 69591, 1, 0.9932518005371094
29997, 2600, 1, 0.0
47610, 18362, 2, 0.0
72908, 90617, 1, 1.489877700805664
54065, 72422, 1, 1.1477470397949219
39752, 69062, 2, 0.9934902191162109
52000, 74389, 1, 0.9932518005371094
92551, 71513, 1, 1.489877700805664
23654, 95506, 2, 0.4811286926269531
28741, 74257, 1, 0.49686431884765625
98103, 47145, 3, 0.9932518005371094
89342, 53857, 1, 0.9934902191162109
47440, 55891, 1, 1.0600090026855469
55015, 46675, 5, 0.9932518005371094
24462, 94212, 18, 0.4966259002685547
62044, 36561, 1, 0.9932518005371094
43684, 83823, 1, 0.9934902191162109
87437, 52906, 7, 0.9932518005371094
38188, 22074, 2, 0.4966259002685547
88784, 40424, 248, 0.9934902191162109
93063, 57098, 1, 0.9934902191162109
46243, 1718, 1, 0.0
31450, 78549, 1, 0.9934902191162109
13886, 60885, 1, 0.49614906311035156
92367, 68642, 1, 1.489877700805664
94322, 80286, 2, 2.4836063385009766
36910, 51834, 2, 0.9934902191162109
28475, 93376, 1, 0.4963874816894531
99159, 42013, 1, 0.9932518005371094
52771, 60023, 1, 0.9932518005371094
52465, 5253, 1, 0.0
59482, 33976, 2, 0.8068084716796875
21100, 63238, 2, 0.4966259002685547
51724, 21021, 1, 0.49686431884765625
70760, 28744, 8, 0.4971027374267578
98738, 85781, 1, 1.9867420196533203
20688, 10328, 8, 0.4966259002685547
11169, 86817, 3, 0.4966259002685547
24600, 26435, 5, 0.4966259002685547
97481, 71777, 1, 1.9867420196533203
16986, 32632, 2, 0.4963874816894531
27845, 62793, 1, 0.9934902191162109
69554, 84241, 1, 1.489877700805664
32008, 13266, 2, 0.4966259002685547
66727, 41844, 1, 0.9932518005371094
45180, 65978, 2, 0.9932518005371094
82814, 99080, 2, 1.9867420196533203
51880, 52129, 1, 0.9934902191162109
20795, 23385, 5, 0.4725456237792969
77216, 86281, 1, 1.4901161193847656
65132, 75570, 2, 1.489877700805664
64496, 69096, 8, 1.489877700805664
61160, 85638, 2, 0.9934902191162109
89213, 59675, 1, 1.489877700805664
92528, 783, 1, 0.0
3259, 61909, 1, 0.0
15079, 63856, 1, 0.4971027374267578
36314, 47904, 2, 0.9925365447998047
54982, 50598, 2, 1.4901161193847656
20289, 55303, 1, 0.49686431884765625
51175, 39816, 1, 0.9932518005371094
53661, 78819, 3, 1.489877700805664
4662, 36900, 18, 0.0
4119, 82401, 3, 0.0
12775, 44458, 1, 0.4966259002685547
76308, 14807, 1, 0.4971027374267578
52395, 96123, 3, 1.2845993041992188
52050, 4354, 2, 0.0
59531, 68012, 1, 1.4901161193847656
89295, 63155, 5, 1.489877700805664
26049, 53497, 1, 0.7340908050537109
84910, 71098, 2, 1.4901161193847656
92295, 90033, 3, 1.9865036010742188
56023, 97938, 1, 1.4901161193847656
4690, 20886, 2, 0.49686431884765625
57854, 31194, 2, 0.4966259002685547
60098, 75972, 2, 1.4903545379638672
24630, 2454, 6, 0.0
55396, 70213, 11, 0.9930133819580078
94506, 29531, 1, 0.4966259002685547
55103, 43384, 1, 0.9934902191162109
2657, 43772, 1, 0.0
13293, 29191, 1, 0.0
88535, 33237, 1, 0.4966259002685547
73222, 26129, 1, 0.49686431884765625
20466, 80758, 2, 0.4966259002685547
5848, 89340, 4, 0.0
3658, 58281, 1, 0.0
25167, 21930, 3, 0.4966259002685547
63342, 54915, 3, 0.9932518005371094
8249, 69994, 1, 0.0
31424, 86592, 64, 0.4966259002685547
94028, 91812, 4, 2.483367919921875
53942, 11414, 2, 0.0
51017, 44986, 1, 0.9937286376953125
56943, 99102, 3, 0.9932518005371094
959, 20212, 1, 0.0
89299, 87108, 7, 1.9567012786865234
83317, 79699, 1, 1.489877700805664
54136, 10566, 2, 0.0
53056, 53280, 32, 0.9124279022216797
29673, 42517, 1, 0.4971027374267578
61688, 36530, 2, 0.9934902191162109
51316, 85277, 1, 0.9932518005371094
79929, 61154, 1, 1.4882087707519531
65978, 13598, 2, 0.0
41088, 10547, 1, 0.0
56388, 10214, 2, 0.0
25433, 4715, 1, 0.0
32928, 95978, 2, 0.9930133819580078
45756, 42004, 4, 0.9932518005371094
54240, 5076, 12, 0.0
52227, 43770, 3, 0.9937286376953125
52720, 3132, 4, 0.49686431884765625
11233, 30026, 1, 0.0
26153, 42933, 1, 0.4966259002685547
99361, 90996, 1, 1.9867420196533203
93977, 17278, 1, 0.4966259002685547
24645, 5033, 1, 0.0
45578, 73706, 2, 0.9939670562744141
86393, 65729, 1, 1.489877700805664
84529, 25519, 1, 0.4966259002685547
82071, 38797, 11, 0.9934902191162109
84626, 56316, 38, 0.9932518005371094
12877, 75536, 1, 0.0
33068, 14649, 1, 0.49686431884765625
72493, 84329, 1, 1.9865036010742188
61823, 9478, 1, 0.0
20416, 98704, 16, 0.49614906311035156
74256, 65343, 3, 1.4903545379638672
94291, 11212, 1, 0.4966259002685547
56809, 95455, 1, 1.4901161193847656
74768, 22602, 2, 0.4966259002685547
59771, 78393, 1, 1.4903545379638672
61619, 47310, 1, 0.9934902191162109
74314, 7484, 2, 0.0
13255, 50622, 11, 0.0
19819, 47971, 1, 0.4966259002685547
1048, 83293, 1, 0.0
77537, 23341, 17, 0.4971027374267578
6091, 17288, 1, 0.0
267, 58884, 3, 0.0
94220, 6494, 2, 0.4963874816894531
3770, 87591, 1, 0.0
83590, 22459, 1, 0.49686431884765625
73184, 61555, 1, 1.4901161193847656
43824, 33666, 6, 0.4966259002685547
41175, 48361, 1, 0.4966259002685547
72727, 20289, 1, 0.4966259002685547
35086, 17685, 1, 0.5090236663818359
17149, 58849, 1, 0.0
10587, 19421, 1, 0.49686431884765625
96313, 17243, 1, 0.4966259002685547
7804, 31288, 4, 0.0
64296, 67761, 9, 1.4901161193847656
81335, 51667, 1, 0.9932518005371094
16308, 34677, 9, 0.0
99670, 89745, 5, 1.9865036010742188
96290, 4784, 2, 0.0
22250, 14350, 50, 0.4963874816894531
32615, 40413, 1, 0.4966259002685547
73851, 57662, 1, 0.9932518005371094
22316, 74147, 1, 0.49686431884765625
59662, 1044, 2, 0.0
4398, 33802, 2, 0.0
77212, 74125, 1, 1.9865036010742188
61783, 48401, 1, 0.9932518005371094
70867, 36792, 1, 0.9932518005371094
76373, 54658, 1, 1.489877700805664
19272, 5367, 3, 0.4966259002685547
60420, 13998, 6, 0.0
74436, 25138, 2, 0.2925395965576172
94983, 81782, 1, 1.9869804382324219
78020, 74433, 1, 1.9867420196533203
65961, 49308, 21, 0.9934902191162109
39692, 39982, 2, 0.9932518005371094
20622, 14652, 6, 0.0
19440, 90507, 3, 0.49686431884765625
3955, 6507, 1, 0.0
77767, 57245, 1, 0.9932518005371094
3533, 86744, 1, 0.0
84191, 11289, 1, 0.4966259002685547
