Number One, Number Two, Their GCD, Time Spent(Milliseconds)
44270, 29034, 2, 0.0
37930, 89599, 1, 0.0
53912, 10723, 1, 0.0
84383, 16858, 1, 0.0
69876, 46732, 4, 0.0
88856, 69289, 1, 0.0
17124, 59306, 2, 0.0
36514, 9821, 1, 0.0
51324, 66490, 2, 0.0
10297, 84705, 1, 0.0
22903, 30760, 1, 0.0
50689, 12895, 1, 0.0
22493, 72366, 1, 0.0
75745, 68739, 1, 0.0
39863, 84189, 1, 0.0
55280, 61452, 4, 0.0
28988, 85184, 4, 0.0
73111, 26998, 1, 0.0
79677, 80593, 1, 0.0
85980, 26717, 1, 0.0
82909, 77102, 1, 0.0
82446, 2389, 1, 0.0
39953, 69591, 1, 0.0
29997, 2600, 1, 0.0
47610, 18362, 2, 0.0
72908, 90617, 1, 0.0
54065, 72422, 1, 0.0
39752, 69062, 2, 0.0
52000, 74389, 1, 0.0
92551, 71513, 1, 0.0
23654, 95506, 2, 0.0
28741, 74257, 1, 0.0
98103, 47145, 3, 0.0
89342, 53857, 1, 0.0
47440, 55891, 1, 0.0
55015, 46675, 5, 0.0
24462, 94212, 18, 0.0
62044, 36561, 1, 0.0
43684, 83823, 1, 0.0
87437, 52906, 7, 0.0
38188, 22074, 2, 0.0
88784, 40424, 248, 0.0
93063, 57098, 1, 0.0
46243, 1718, 1, 0.0
31450, 78549, 1, 0.0
13886, 60885, 1, 0.0
92367, 68642, 1, 0.0
94322, 80286, 2, 0.0
36910, 51834, 2, 0.0
28475, 93376, 1, 0.0
99159, 42013, 1, 0.0
52771, 60023, 1, 0.0
52465, 5253, 1, 0.0
59482, 33976, 2, 0.0
21100, 63238, 2, 0.0
51724, 21021, 1, 0.0
70760, 28744, 8, 0.0
98738, 85781, 1, 0.0
20688, 10328, 8, 0.0
11169, 86817, 3, 0.0
24600, 26435, 5, 0.0
97481, 71777, 1, 0.0
16986, 32632, 2, 0.0
27845, 62793, 1, 0.0
69554, 84241, 1, 0.0
32008, 13266, 2, 0.0
66727, 41844, 1, 0.0
45180, 65978, 2, 0.0
82814, 99080, 2, 0.0
51880, 52129, 1, 0.0
20795, 23385, 5, 0.0
77216, 86281, 1, 0.0
65132, 75570, 2, 0.0
64496, 69096, 8, 0.0
61160, 85638, 2, 0.0
89213, 59675, 1, 0.0
92528, 783, 1, 0.0
3259, 61909, 1, 0.0
15079, 63856, 1, 0.0
36314, 47904, 2, 0.0
54982, 50598, 2, 0.0
20289, 55303, 1, 0.0
51175, 39816, 1, 0.0
53661, 78819, 3, 0.0
4662, 36900, 18, 0.0
4119, 82401, 3, 0.0
12775, 44458, 1, 0.0
76308, 14807, 1, 0.0
52395, 96123, 3, 0.0
52050, 4354, 2, 0.0
59531, 68012, 1, 0.0
89295, 63155, 5, 0.0
26049, 53497, 1, 0.0
84910, 71098, 2, 0.0
92295, 90033, 3, 0.0
56023, 97938, 1, 0.0
4690, 20886, 2, 0.0
57854, 31194, 2, 0.0
60098, 75972, 2, 0.0
24630, 2454, 6, 0.0
55396, 70213, 11, 0.0
94506, 29531, 1, 0.0
55103, 43384, 1, 0.0
2657, 43772, 1, 0.0
13293, 29191, 1, 0.0
88535, 33237, 1, 0.0
73222, 26129, 1, 0.0
20466, 80758, 2, 0.0
5848, 89340, 4, 0.0
3658, 58281, 1, 0.0
25167, 21930, 3, 0.0
63342, 54915, 3, 0.0
8249, 69994, 1, 0.0
31424, 86592, 64, 0.0
94028, 91812, 4, 0.0
53942, 11414, 2, 0.0
51017, 44986, 1, 0.0
56943, 99102, 3, 0.0
959, 20212, 1, 0.0
89299, 87108, 7, 0.0
83317, 79699, 1, 0.0
54136, 10566, 2, 0.0
53056, 53280, 32, 0.0
29673, 42517, 1, 0.0
61688, 36530, 2, 0.0
51316, 85277, 1, 0.0
79929, 61154, 1, 0.0
65978, 13598, 2, 0.0
41088, 10547, 1, 0.0
56388, 10214, 2, 0.0
25433, 4715, 1, 0.0
32928, 95978, 2, 0.0
45756, 42004, 4, 0.0
54240, 5076, 12, 0.0
52227, 43770, 3, 0.0
52720, 3132, 4, 0.0
11233, 30026, 1, 0.0
26153, 42933, 1, 0.0
99361, 90996, 1, 0.0
93977, 17278, 1, 0.0
24645, 5033, 1, 0.0
45578, 73706, 2, 0.0
86393, 65729, 1, 0.0
84529, 25519, 1, 0.0
82071, 38797, 11, 0.0
84626, 56316, 38, 0.0
12877, 75536, 1, 0.0
33068, 14649, 1, 0.0
72493, 84329, 1, 0.0
61823, 9478, 1, 0.0
20416, 98704, 16, 0.0
74256, 65343, 3, 0.0
94291, 11212, 1, 0.0
56809, 95455, 1, 0.0
74768, 22602, 2, 0.0
59771, 78393, 1, 0.0
61619, 47310, 1, 0.0
74314, 7484, 2, 0.0
13255, 50622, 11, 0.0
19819, 47971, 1, 0.0
1048, 83293, 1, 0.0
77537, 23341, 17, 0.0
6091, 17288, 1, 0.0
267, 58884, 3, 0.0
94220, 6494, 2, 0.0
3770, 87591, 1, 0.0
83590, 22459, 1, 0.0
73184, 61555, 1, 0.0
43824, 33666, 6, 0.0
41175, 48361, 1, 0.0
72727, 20289, 1, 0.0
35086, 17685, 1, 0.0
17149, 58849, 1, 0.0
10587, 19421, 1, 0.0
96313, 17243, 1, 0.0
7804, 31288, 4, 0.0
64296, 67761, 9, 0.0
81335, 51667, 1, 0.0
16308, 34677, 9, 0.0
99670, 89745, 5, 0.0
96290, 4784, 2, 0.0
22250, 14350, 50, 0.0
32615, 40413, 1, 0.0
73851, 57662, 1, 0.0
22316, 74147, 1, 0.0
59662, 1044, 2, 0.0
4398, 33802, 2, 0.0
77212, 74125, 1, 0.0
61783, 48401, 1, 0.0
70867, 36792, 1, 0.0
76373, 54658, 1, 0.0
19272, 5367, 3, 0.0
60420, 13998, 6, 0.0
74436, 25138, 2, 0.0
94983, 81782, 1, 0.0
78020, 74433, 1, 0.0
65961, 49308, 21, 0.0
39692, 39982, 2, 0.0
20622, 14652, 6, 0.0
19440, 90507, 3, 0.0
3955, 6507, 1, 0.0
77767, 57245, 1, 0.0
3533, 86744, 1, 0.0
84191, 11289, 1, 0.0
71915, 92680, 5, 0.0
63031, 31901, 1, 0.0
31253, 18723, 1, 0.0
88750, 76747, 1, 0.0
77491, 85937, 1, 0.0
15461, 39632, 1, 0.0
30503, 85983, 1, 0.0
91900, 89907, 1, 0.0
26834, 78746, 2, 0.0
67128, 91703, 1, 0.0
17272, 98961, 1, 0.0
42300, 76928, 4, 0.0
88882, 79563, 1, 0.0
11756, 87001, 1, 0.0
15809, 11378, 1, 0.0
27314, 28248, 2, 0.0
94247, 22440, 1, 0.0
65398, 24006, 2, 0.0
228, 91464, 12, 0.0
54043, 19891, 1, 0.0
89844, 94203, 3, 0.0
29839, 83717, 1, 0.0
39123, 33469, 1, 0.0
20012, 77157, 1, 0.0
60460, 36614, 2, 0.0
92379, 31756, 1, 0.0
24848, 2485, 1, 0.0
38289, 86638, 1, 0.0
53601, 96741, 3, 0.0
88989, 56976, 3, 0.0
35666, 93332, 2, 0.0
5653, 14367, 1, 0.0
55245, 83755, 5, 0.0
85148, 13149, 1, 0.0
44800, 47595, 5, 0.0
85894, 60114, 2, 0.0
64689, 90085, 1, 0.0
30480, 27304, 8, 0.0
24842, 24581, 1, 0.0
77672, 95082, 2, 0.0
32902, 67199, 1, 0.0
97014, 85838, 2, 0.0
52144, 94925, 1, 0.0
58047, 15744, 3, 0.0
24191, 8844, 1, 0.0
30372, 27347, 1, 0.0
93337, 25076, 1, 0.0
21525, 42957, 3, 0.0
71641, 60698, 31, 0.0
74441, 68557, 1, 0.0
66990, 28401, 3, 0.0
28387, 37572, 1, 0.0
9186, 41068, 2, 0.0
6720, 5735, 5, 0.0
82444, 97991, 1, 0.0
47921, 89969, 1, 0.0
12029, 31138, 1, 0.0
24005, 91728, 1, 0.0
88262, 59483, 1, 0.0
64446, 81910, 2, 0.0
68774, 77869, 1, 0.0
39905, 24682, 1, 0.0
13340, 62055, 5, 0.0
54781, 19608, 1, 0.0
75993, 82309, 1, 0.0
49948, 17502, 2, 0.0
76863, 99532, 1, 0.0
49549, 33317, 1, 0.0
6025, 2016, 1, 0.0
11131, 46276, 1, 0.0
77174, 22517, 1, 0.0
54474, 26202, 6, 0.0
83345, 65689, 1, 0.0
17002, 9050, 2, 0.0
26520, 6443, 17, 0.0
89351, 26638, 1, 0.0
49835, 99303, 1, 0.0
23346, 83967, 3, 0.0
11749, 2078, 1, 0.0
64917, 91271, 1, 0.0
87960, 28879, 1, 0.0
53207, 65191, 7, 0.0
26704, 45207, 1, 0.0
69622, 16030, 14, 0.0
5174, 87545, 1, 0.0
38543, 79903, 1, 0.0
96072, 92898, 6, 0.0
22076, 60284, 4, 0.0
27753, 34942, 1, 0.0
27903, 90657, 3, 0.0
95629, 81794, 1, 0.0
48356, 99391, 1, 0.0
18793, 94042, 1, 0.0
42980, 90712, 4, 0.0
73548, 52992, 36, 0.0
30867, 30439, 1, 0.0
64260, 76834, 2, 0.0
87516, 88923, 3, 0.0
85857, 71359, 1, 0.0
63124, 71124, 4, 0.0
36002, 392, 2, 0.0
99814, 74245, 1, 0.0
29755, 96583, 1, 0.0
62025, 61350, 75, 0.4966259002685547
80335, 19869, 1, 0.0
9577, 75639, 1, 0.0
1753, 80318, 1, 0.0
57216, 18252, 12, 0.0
38279, 5117, 1, 0.0
11448, 68339, 1, 0.0
39036, 55344, 12, 0.0
37800, 91384, 8, 0.0
5419, 61787, 1, 0.0
62445, 26245, 905, 0.0
43284, 33537, 3, 0.0
81441, 49769, 1, 0.0
70251, 68764, 1, 0.0
86367, 35090, 1, 0.0
97249, 41430, 1, 0.0
67541, 56096, 1, 0.0
23062, 76569, 1, 0.0
72090, 11531, 1, 0.0
10794, 93963, 3, 0.0
46644, 78505, 1, 0.0
27474, 41598, 6, 0.0
3841, 78737, 1, 0.0
41808, 18476, 4, 0.0
38774, 2962, 2, 0.0
95930, 49763, 1, 0.0
64705, 85023, 1, 0.0
28108, 72652, 4, 0.0
77086, 53435, 1, 0.0
30743, 17607, 1, 0.0
79317, 93365, 1, 0.0
85375, 69253, 1, 0.0
59955, 58395, 15, 0.0
71030, 61634, 2, 0.0
10612, 80705, 1, 0.0
65961, 64859, 1, 0.0
66262, 57431, 1, 0.0
24917, 87384, 1, 0.0
29700, 37093, 1, 0.0
84938, 10312, 2, 0.0
58750, 73140, 10, 0.0
27586, 19475, 1, 0.0
37878, 89518, 2, 0.0
28964, 86664, 4, 0.0
30101, 2876, 1, 0.0
80940, 23478, 6, 0.0
20478, 8160, 6, 0.0
72336, 7605, 3, 0.0
81414, 1710, 18, 0.0
71882, 84133, 1, 0.0
88819, 48758, 1, 0.0
60365, 21898, 1, 0.0
52574, 55561, 1, 0.0
44747, 67427, 1, 0.0
93604, 5903, 1, 0.0
34705, 60920, 5, 0.0
5083, 78858, 13, 0.0
54401, 98013, 1, 0.0
35536, 73462, 2, 0.0
26772, 17657, 1, 0.0
96285, 85073, 1, 0.0
83884, 99059, 1, 0.0
90963, 47256, 3, 0.0
70706, 24597, 1, 0.0
41918, 73445, 1, 0.0
37758, 59607, 3, 0.0
77899, 20306, 1, 0.0
59740, 54004, 4, 0.0
86024, 4211, 1, 0.0
44337, 86963, 1, 0.0
10140, 66002, 2, 0.0
99675, 57759, 3, 0.0
22256, 31435, 1, 0.0
26593, 72455, 1, 0.0
35767, 51033, 1, 0.0
12751, 50627, 1, 0.0
12268, 52068, 4, 0.0
65630, 17304, 2, 0.0
45332, 83911, 1, 0.0
72462, 70340, 2, 0.0
80374, 43835, 1, 0.0
70843, 42718, 1, 0.0
45278, 57682, 2, 0.0
21691, 29284, 1, 0.0
72058, 36962, 2, 0.0
37668, 8078, 2, 0.0
72716, 65517, 1, 0.0
57581, 13246, 1, 0.0
63380, 73352, 4, 0.0
35566, 91896, 2, 0.0
49864, 27348, 4, 0.0
58151, 61882, 1, 0.0
5971, 72848, 1, 0.0
16654, 97195, 1, 0.0
79562, 32423, 1, 0.0
15983, 72342, 1, 0.0
22528, 13007, 1, 0.0
30637, 52346, 1, 0.0
19511, 88408, 1, 0.0
