Number One, Number Two, Their GCD, Time Spent(Milliseconds)
49203, 37827, 9, 0.0
53252, 48783, 1, 0.0
78775, 12256, 1, 0.0
57381, 88175, 1, 0.0
87340, 2878, 2, 0.0
55826, 63578, 2, 0.0
42305, 8576, 1, 0.0
5184, 20978, 2, 0.0
51664, 17836, 4, 0.0
92704, 42632, 8, 0.0
19187, 63487, 1, 0.0
31824, 31290, 6, 0.0
1836, 20326, 2, 0.0
50326, 4332, 2, 0.0
86233, 47414, 1, 0.0
64553, 16453, 1, 0.0
23662, 6070, 2, 0.0
15847, 53353, 1, 0.0
52015, 95599, 1, 0.0
64406, 38222, 2, 0.0
73732, 45189, 1, 0.0
96191, 7757, 1, 0.0
96200, 7565, 5, 0.0
14971, 62493, 1, 0.0
40781, 79437, 1, 0.0
81193, 37419, 1, 0.0
67468, 60933, 1, 0.0
20530, 32540, 10, 0.0
49570, 74304, 2, 0.0
71830, 17967, 1, 0.0
61455, 20656, 1, 0.0
36200, 20426, 2, 0.0
74507, 1997, 1, 0.0
59029, 94826, 1, 0.0
90690, 46274, 2, 0.0
34374, 46527, 3, 0.0
26840, 60712, 8, 0.0
33202, 7073, 1, 0.0
27989, 89015, 1, 0.0
82580, 33429, 1, 0.0
77786, 62068, 2, 0.0
73529, 38706, 1, 0.0
5860, 20986, 2, 0.0
97207, 96945, 1, 0.0
72864, 87364, 4, 0.0
3771, 50656, 1, 0.0
26661, 41445, 3, 0.0
17905, 66131, 1, 0.0
61772, 14004, 4, 0.0
56577, 12672, 3, 0.0
42365, 10968, 1, 0.0
81865, 90448, 1, 0.0
19753, 25199, 1, 0.0
12619, 7908, 1, 0.0
69209, 39259, 1, 0.0
70134, 90532, 2, 0.0
71211, 80597, 1, 0.0
65032, 26538, 2, 0.0
48446, 34682, 2, 0.0
76622, 63267, 1, 0.0
41304, 87714, 6, 0.0
55165, 1920, 5, 0.0
41566, 45403, 1, 0.0
84895, 62616, 1, 0.0
31962, 87560, 2, 0.0
17258, 38166, 2, 0.0
47248, 9932, 4, 0.0
51665, 98870, 5, 0.0
9914, 49995, 1, 0.0
66625, 60667, 1, 0.0
54429, 16601, 1, 0.0
26587, 50960, 1, 0.0
20702, 27944, 2, 0.0
95914, 17466, 2, 0.0
96992, 94593, 1, 0.0
33010, 85029, 1, 0.0
83577, 18201, 3, 0.0
33533, 11353, 1, 0.0
43346, 6580, 2, 0.0
89283, 32189, 1, 0.0
75261, 79760, 1, 0.0
16167, 27522, 3, 0.0
67656, 99423, 3, 0.0
95346, 89841, 3, 0.0
61665, 29072, 1, 0.0
26467, 14287, 7, 0.0
51712, 47038, 2, 0.0
6887, 63241, 1, 0.0
33020, 47700, 20, 0.0
9347, 8228, 1, 0.0
57, 37084, 1, 0.0
30569, 41079, 1, 0.0
95395, 97300, 5, 0.0
53383, 65824, 11, 0.0
37107, 57692, 1, 0.0
58724, 98262, 106, 0.0
76620, 3641, 1, 0.0
44654, 74871, 1, 0.0
41531, 80546, 17, 0.0
43958, 65360, 2, 0.0
32596, 64196, 4, 0.0
47346, 64146, 6, 0.0
43895, 4743, 1, 0.0
16864, 16653, 1, 0.0
23313, 84476, 1, 0.0
76229, 79699, 1, 0.0
18021, 64095, 3, 0.0
86667, 33277, 1, 0.0
74630, 51170, 170, 0.0
36864, 52826, 2, 0.0
60575, 39136, 1, 0.0
14561, 38022, 1, 0.0
30998, 54491, 1, 0.0
98305, 49724, 1, 0.0
90623, 95823, 13, 0.0
25939, 92005, 1, 0.0
62270, 35941, 1, 0.0
93060, 61637, 1, 0.0
49044, 61078, 2, 0.0
44961, 5994, 3, 0.0
64155, 59049, 3, 0.0
17309, 69475, 1, 0.0
55395, 38353, 1, 0.0
35697, 37497, 3, 0.0
58025, 25419, 1, 0.0
21951, 40226, 1, 0.0
64016, 42494, 2, 0.0
62013, 37415, 7, 0.0
60458, 20360, 2, 0.0
62979, 53998, 7, 0.0
20655, 5161, 1, 0.0
184, 57128, 8, 0.0
81042, 44889, 39, 0.0
66863, 8096, 1, 0.0
43883, 93114, 7, 0.0
58494, 56328, 6, 0.0
48434, 24862, 2, 0.0
57206, 24521, 1, 0.0
3958, 74134, 2, 0.0
96356, 17509, 1, 0.0
15977, 66585, 1, 0.0
92994, 47763, 3, 0.0
16740, 15038, 2, 0.0
79281, 59779, 1, 0.0
54571, 23445, 1, 0.0
8823, 93566, 1, 0.0
66745, 33471, 1, 0.0
91537, 694, 1, 0.0
68276, 39383, 1, 0.0
33828, 30758, 2, 0.0
76156, 96333, 1, 0.0
6922, 66685, 1, 0.0
30992, 50597, 1, 0.0
94476, 69920, 4, 0.0
55373, 95222, 1, 0.0
40781, 36162, 1, 0.0
14619, 35665, 1, 0.0
38490, 80276, 2, 0.0
31406, 91854, 2, 0.0
1790, 54513, 1, 0.0
32679, 59400, 9, 0.0
61563, 33397, 1, 0.0
10104, 20715, 3, 0.0
18065, 55081, 1, 0.0
50389, 33028, 1, 0.0
76831, 6342, 1, 0.0
37524, 81099, 3, 0.0
82970, 81458, 2, 0.0
58289, 24122, 7, 0.0
62011, 88682, 1, 0.0
95568, 43511, 1, 0.0
23056, 18421, 1, 0.0
27729, 83467, 1, 0.0
52831, 84851, 1, 0.0
28842, 90293, 1, 0.0
21630, 92132, 2, 0.0
67074, 78977, 1, 0.0
38733, 6219, 3, 0.0
65561, 99458, 1, 0.0
85526, 26513, 1, 0.0
44123, 79414, 1, 0.0
55782, 85432, 2, 0.0
14597, 41961, 1, 0.0
29708, 45707, 1, 0.0
87595, 65315, 5, 0.0
35567, 15418, 1, 0.0
19264, 38303, 1, 0.0
53550, 41001, 3, 0.0
73986, 7391, 19, 0.0
77856, 69469, 1, 0.0
3731, 33180, 7, 0.0
22812, 27049, 1, 0.0
80137, 68616, 1, 0.0
32432, 89747, 1, 0.0
34204, 5487, 1, 0.0
35853, 66484, 1, 0.0
34739, 10833, 1, 0.0
66171, 90770, 1, 0.0
97046, 70657, 1, 0.0
66632, 80310, 2, 0.0
53742, 11220, 6, 0.0
44408, 57936, 8, 0.0
34572, 76172, 4, 0.0
38501, 34308, 1, 0.0
18870, 56637, 3, 0.0
36028, 7822, 2, 0.0
74019, 1600, 1, 0.0
72023, 63265, 1, 0.0
99292, 49940, 4, 0.0
44885, 4376, 1, 0.0
36198, 62406, 18, 0.0
25787, 30477, 1, 0.0
52984, 27587, 1, 0.0
32522, 73316, 2, 0.0
53242, 28646, 2, 0.0
93081, 66181, 1, 0.0
68611, 68978, 1, 0.0
88243, 54466, 1, 0.0
8092, 86178, 2, 0.0
50432, 40861, 1, 0.0
4897, 69565, 1, 0.0
45531, 67630, 1, 0.0
46081, 19624, 1, 0.0
27713, 94673, 1, 0.0
41911, 93133, 1, 0.0
83384, 79895, 1, 0.0
43457, 69932, 1, 0.0
73325, 49219, 1, 0.0
44828, 89643, 1, 0.0
67895, 25129, 1, 0.0
13148, 86239, 1, 0.0
53097, 83316, 3, 0.0
92275, 29881, 1, 0.0
83164, 6994, 2, 0.0
77067, 23273, 1, 0.0
15539, 44102, 1, 0.0
58374, 43385, 1, 0.0
7960, 39873, 1, 0.0
88098, 79616, 2, 0.0
94512, 71180, 4, 0.0
45318, 5570, 2, 0.0
27528, 41826, 6, 0.0
63410, 42350, 10, 0.0
68620, 23185, 5, 0.0
12570, 12012, 6, 0.0
19102, 33353, 1, 0.0
46427, 6498, 1, 0.0
42148, 77203, 41, 0.0
22647, 27535, 1, 0.0
77037, 91327, 1, 0.0
4400, 78443, 1, 0.0
41292, 64615, 1, 0.0
39430, 6752, 2, 0.0
64951, 42653, 1, 0.0
55332, 47885, 1, 0.0
10111, 76248, 1, 0.0
54699, 4700, 1, 0.0
54605, 93974, 1, 0.0
8410, 24594, 2, 0.0
87870, 68529, 3, 0.0
60875, 19357, 1, 0.0
28216, 94021, 1, 0.0
1213, 54764, 1, 0.0
27383, 20299, 1, 0.0
71668, 99704, 4, 0.0
88847, 45695, 1, 0.0
85538, 45449, 1, 0.0
36825, 49114, 1, 0.0
15157, 64718, 1, 0.0
22382, 41144, 2, 0.0
43094, 69925, 1, 0.0
61325, 68298, 1, 0.0
73196, 48367, 1, 0.0
36753, 47201, 1, 0.0
41616, 39538, 2, 0.0
29900, 8760, 20, 0.0
10516, 52205, 1, 0.0
83848, 90503, 1, 0.0
31241, 3689, 7, 0.0
45095, 31272, 1, 0.0
7582, 81555, 1, 0.0
81244, 7804, 4, 0.0
41569, 38388, 1, 0.0
51103, 19624, 1, 0.0
1061, 92612, 1, 0.0
99668, 36589, 1, 0.0
63200, 22796, 4, 0.0
71741, 84133, 1, 0.0
30772, 38626, 14, 0.0
39563, 12280, 1, 0.0
78748, 49161, 1, 0.0
85869, 30287, 1, 0.0
35295, 89041, 1, 0.0
53089, 76968, 1, 0.0
50561, 70374, 1, 0.0
7426, 24928, 2, 0.0
91299, 37252, 1, 0.0
25424, 60801, 1, 0.0
69293, 88053, 7, 0.0
78655, 22548, 1, 0.0
14326, 60472, 2, 0.0
72971, 30579, 1, 0.0
76288, 67927, 1, 0.0
97023, 34089, 3, 0.0
36875, 35239, 1, 0.0
29827, 49275, 1, 0.0
51043, 29118, 1, 0.0
52230, 41855, 5, 0.0
71945, 83541, 1, 0.0
19484, 68172, 4, 0.0
96626, 10085, 1, 0.0
85370, 39650, 10, 0.0
74894, 78542, 2, 0.0
69466, 80363, 1, 0.0
89540, 77485, 5, 0.0
32485, 12942, 1, 0.0
40202, 49274, 2, 0.0
89237, 19635, 1, 0.0
35986, 90438, 2, 0.0
12642, 475, 1, 0.0
59628, 82482, 6, 0.0
23836, 13010, 2, 0.0
52205, 59248, 1, 0.0
24036, 31713, 3, 0.0
75871, 67744, 1, 0.0
14002, 84275, 1, 0.0
70392, 33111, 3, 0.0
85527, 24595, 1, 0.0
55778, 74702, 2, 0.0
8883, 35058, 3, 0.0
89838, 99366, 6, 0.0
24010, 16118, 2, 0.0
69662, 73095, 1, 0.0
5914, 35637, 1, 0.0
45605, 59386, 1, 0.0
33467, 4511, 1, 0.0
62675, 54101, 1, 0.0
41451, 73752, 3, 0.0
73456, 74324, 4, 0.0
1963, 68923, 1, 0.0
31253, 87259, 1, 0.0
33892, 11464, 4, 0.0
41939, 91580, 1, 0.0
15619, 52557, 1, 0.0
65724, 60100, 4, 0.0
39785, 34583, 1, 0.0
76336, 47280, 16, 0.0
54502, 11140, 2, 0.0
5872, 57446, 2, 0.0
87660, 40898, 2, 0.0
84514, 57588, 2, 0.0
69297, 41325, 3, 0.0
93203, 89404, 1, 0.0
62320, 1968, 656, 0.0
97465, 48670, 5, 0.0
74990, 40620, 10, 0.0
98050, 10321, 1, 0.0
62591, 2620, 1, 0.0
67336, 52720, 8, 0.0
72537, 3337, 1, 0.0
5180, 90427, 1, 0.0
59831, 87050, 1, 0.0
37436, 23192, 4, 0.0
34779, 36840, 3, 0.0
48697, 73896, 1, 0.0
97278, 88476, 6, 0.0
57383, 8804, 1, 0.0
4101, 19734, 3, 0.0
19375, 14709, 1, 0.0
29308, 15178, 2, 0.0
24208, 64813, 1, 0.0
49164, 67391, 1, 0.0
78954, 83979, 3, 0.0
17600, 48926, 2, 0.0
56332, 95983, 1, 0.0
14058, 56849, 1, 0.0
89852, 11638, 2, 0.0
3195, 61650, 45, 0.0
73910, 62778, 2, 0.0
3604, 95087, 1, 0.0
97178, 49149, 1, 0.0
9476, 24007, 1, 0.0
95687, 48519, 1, 0.0
12480, 5883, 3, 0.0
92767, 38462, 1, 0.0
41670, 26647, 1, 0.0
94537, 83153, 1, 0.0
79402, 2230, 2, 0.0
37857, 61992, 3, 0.0
